Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Location duplicate,Latitude,Longitude,New Georeferenced Column,Counties,Congressional Districts,WAOFM - GIS - Legislative District Boundary
Graymont Western US. Inc. - Tacoma,2013,Minerals,Lime Production,327410,Lime Manufacturing,"Graymont, Inc.",Tacoma,Pierce,Puget Sound Clean Air Agency,92862,0,92723,53,87,0,0,0,0,,2,"(47.271365, -122.397262)","(47.271365, -122.397262)",47.271365,-122.397262,POINT (-122.397262 47.271365),3210,9,11
Cosmo Specialty Fibers Inc - Cosmopolis,2016,Pulp and Paper,Sulfite Mills,322110,Pulp Mills,Gores Group,Cosmopolis,Grays Harbor,Ecology: Industrial Section,541028,513480,21136,4408,2006,0,0,0,0,,3,"(46.952907, -123.76211)","(46.952907, -123.76211)",46.952907,-123.76211,POINT (-123.76211 46.952907),2983,6,26
Northwest Pipeline C/S - Mount Vernon,2018,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,56715,0,54226,2459,30,0,0,0,0,,2,"(48.421967, -122.21547)","(48.421967, -122.21547)",48.421967,-122.21547,POINT (-122.21547 48.421967),3212,1,16
Guy Bennett Lumber Company - Clarkston,2020,Wood Products,Lumber Mills,321113,Sawmills,Bennett Lumber Products Inc.,Clarkston,Whitman,Ecology: Eastern Regional Office,14289,14101,0,27,161,0,0,0,0,,1,"(46.423108, -117.086487)","(46.423108, -117.086487)",46.423108,-117.086487,POINT (-117.086487 46.423108),2745,5,13
Washington State University - Pullman,2017,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Pullman,Whitman,Ecology: Eastern Regional Office,65446,0,65377,31,38,0,0,0,0,,2,"(46.728702, -117.151481)","(46.728702, -117.151481)",46.728702,-117.151481,POINT (-117.151481 46.728702),2745,5,13
J.R. Simplot Company - Moses Lake,2016,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Moses Lake,Grant,Ecology: Eastern Regional Office,34811,3651,27025,4108,28,0,0,0,0,,2,"(47.131732, -119.18926)","(47.131732, -119.18926)",47.131732,-119.18926,POINT (-119.18926 47.131732),2982,4,19
LRI Landfill - Graham,2019,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Graham,Pierce,Puget Sound Clean Air Agency,271964,0,0,271964,0,0,0,0,0,,3,"(46.972405, -122.292799)","(46.972405, -122.292799)",46.972405,-122.292799,POINT (-122.292799 46.972405),3210,8,2
Ponderay Industries - Usk,2019,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Ponderay Newsprint Company,Usk,Pend Oreille,Ecology: Eastern Regional Office,43796,39882,3368,81,466,0,0,0,0,,2,"(48.289771, -117.271359)","(48.289771, -117.271359)",48.289771,-117.271359,POINT (-117.271359 48.289771),3209,5,10
Puget Sound Energy T&D - statewide,2014,Power Plants,Electrical Transmission and Distribution,221122,Electric Power Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,1664,0,0,0,0,0,0,1664,0,,1,"(47.61345, -122.19454)","(47.61345, -122.19454)",47.61345,-122.19454,POINT (-122.19454 47.61345),3009,9,42
Sierra Pacific Industries - Burlington - Mount Vernon,2019,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Mount Vernon,Skagit,Northwest Clean Air Agency,307533,300773,2740,579,3442,0,0,0,0,,3,"(48.448553, -122.434613)","(48.448553, -122.434613)",48.448553,-122.434613,POINT (-122.434613 48.448553),3212,2,16
"Emerald City Renewables, LLC- Graham",2019,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Emerald City Renewables LLC,Graham,Pierce,Puget Sound Clean Air Agency,17639,17549,0,27,63,0,0,0,0,,1,"(46.975533, -122.290871)","(46.975533, -122.290871)",46.975533,-122.290871,POINT (-122.290871 46.975533),3210,8,2
Packaging Corporation of America - Wallula,2020,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,828596,630030,182948,14169,1449,0,0,0,0,,3,"(46.10396, -118.9184)","(46.10396, -118.9184)",46.10396,-118.9184,POINT (-118.9184 46.10396),2743,4,23
Tree Top - Selah Campus,2018,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Selah,Yakima,Yakima Regional Clean Air Agency,19785,0,19764,9,11,0,0,0,0,,1,"(46.64992, -120.52755)","(46.64992, -120.52755)",46.64992,-120.52755,POINT (-120.52755 46.64992),2746,4,22
Hampton Lumber Mills Washington Inc. - Darrington,2017,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Darrington,Snohomish,Puget Sound Clean Air Agency,87331,86180,0,166,986,0,0,0,0,,2,"(48.262797, -121.597608)","(48.262797, -121.597608)",48.262797,-121.597608,POINT (-121.597608 48.262797),3213,1,41
Puget Sound Energy - Encogen Generating Station - Bellingham,2016,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Bellingham,Whatcom,Northwest Clean Air Agency,103713,0,103607,48,57,0,0,0,0,,3,"(48.746, -122.486)","(48.746, -122.486)",48.746,-122.486,POINT (-122.486 48.746),2744,2,44
REC Solar Grade Silicon - Moses Lake,2016,Metals,Other Metals,331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),REC Silicon,Moses Lake,Grant,Ecology: Eastern Regional Office,59434,0,59373,28,33,0,0,0,0,,2,"(47.138359, -119.200383)","(47.138359, -119.200383)",47.138359,-119.200383,POINT (-119.200383 47.138359),2982,4,19
James Hardie Building Products - Tacoma,2019,Manufacturing,Building Products,327390,Other Concrete Product Manufacturing,James Hardie Building Products Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,15820,0,15804,8,9,0,0,0,0,,1,"(47.092145, -122.364656)","(47.092145, -122.364656)",47.092145,-122.364656,POINT (-122.364656 47.092145),3210,10,35
University of Washington Seattle Campus - Seattle,2019,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Seattle,King,Puget Sound Clean Air Agency,92272,0,92177,44,52,0,0,0,0,,2,"(47.653614, -122.303608)","(47.653614, -122.303608)",47.653614,-122.303608,POINT (-122.303608 47.653614),3009,7,4
Owens-Brockway Glass Container Inc Plant #2 - Kalama,2021,Minerals,Glass Production,327213,Glass Container Manufacturing,O-I Glass Inc.,Kalama,Cowlitz,Southwest Clean Air Agency,26528,0,26510,9,10,0,0,0,0,,2,"(46.031656, -122.866241)","(46.031656, -122.866241)",46.031656,-122.866241,POINT (-122.866241 46.031656),2978,3,27
Puget Sound Energy LDC - supplier,2021,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,5603773,0,5597992,2638,3144,0,0,0,0,Currently Undergoing Verification.,5,"(47.61345, -122.19454)","(47.61345, -122.19454)",47.61345,-122.19454,POINT (-122.19454 47.61345),3009,9,42
Great Western Malt - Vancouver,2017,Food Production,Other Food Products,311213,Malt Manufacturing,Great Western Malt,Vancouver,Clark,Southwest Clean Air Agency,17689,0,17671,8,10,0,0,0,0,,1,"(45.631069, -122.690043)","(45.631069, -122.690043)",45.631069,-122.690043,POINT (-122.690043 45.631069),2977,3,8
Northwest Pipeline C/S - Sumner,2020,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,The Williams Companies Inc.,Sumner,Pierce,Puget Sound Clean Air Agency,9603,0,9167,431,5,0,0,0,0,,1,"(47.228986, -122.209551)","(47.228986, -122.209551)",47.228986,-122.209551,POINT (-122.209551 47.228986),3210,8,15
REC Solar Grade Silicon - Moses Lake,2014,Metals,Other Metals,331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),REC Silicon,Moses Lake,Grant,Ecology: Eastern Regional Office,120816,0,120692,57,68,0,0,0,0,,3,"(47.138359, -119.200383)","(47.138359, -119.200383)",47.138359,-119.200383,POINT (-119.200383 47.138359),2982,4,19
Marathon Anacortes Refinery - Anacortes,2017,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Marathon Petroleum Corp,Anacortes,Skagit,Northwest Clean Air Agency,1359656,0,1353878,2293,3485,0,0,0,0,,4,"(48.493816, -122.564845)","(48.493816, -122.564845)",48.493816,-122.564845,POINT (-122.564845 48.493816),3212,2,43
McCain Foods - Othello,2018,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",,Othello,Adams,Ecology: Eastern Regional Office,61901,0,36883,24997,21,0,0,0,0,,2,"(46.840102, -119.172705)","(46.840102, -119.172705)",46.840102,-119.172705,POINT (-119.172705 46.840102),2953,4,13
Hidden Valley Landfill - Puyallup,2021,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Puyallup,Pierce,Puget Sound Clean Air Agency,5080,0,0,5080,0,0,0,0,0,Voluntary reporter.,1,"(47.095, -122.2878)","(47.095, -122.2878)",47.095,-122.2878,POINT (-122.2878 47.095),3210,8,2
J.R. Simplot Company - Moses Lake,2021,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Moses Lake,Grant,Ecology: Eastern Regional Office,32411,6452,20573,5351,35,0,0,0,0,,2,"(47.131732, -119.18926)","(47.131732, -119.18926)",47.131732,-119.18926,POINT (-119.18926 47.131732),2982,4,19
Lamb Weston - Pasco,2012,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Pasco,Franklin,Ecology: Eastern Regional Office,48326,0,48276,23,27,0,0,0,0,,2,"(46.288137, -119.115336)","(46.288137, -119.115336)",46.288137,-119.115336,POINT (-119.115336 46.288137),2981,4,13
Northwest Hardwoods Inc. - Mount Vernon,2012,Wood Products,Lumber Mills,321113,Sawmills,American Industrial Partners (AIP),Mount Vernon,Skagit,Northwest Clean Air Agency,12633,8698,3742,76,118,0,0,0,0,,1,"(48.451642, -122.443028)","(48.451642, -122.443028)",48.451642,-122.443028,POINT (-122.443028 48.451642),3212,2,16
Northwest Pipeline C/S - Snohomish,2013,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Snohomish,Snohomish,Puget Sound Clean Air Agency,33173,0,32566,590,18,0,0,0,0,,2,"(47.78825, -122.05859)","(47.78825, -122.05859)",47.78825,-122.05859,POINT (-122.05859 47.78825),3213,1,1
Northwest Pipeline C/S - Goldendale,2013,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Goldendale,Klickitat,Ecology: Central Regional Office,35893,0,29936,5940,17,0,0,0,0,,2,"(45.771216, -120.799267)","(45.771216, -120.799267)",45.771216,-120.799267,POINT (-120.799267 45.771216),3195,3,20
Sierra Pacific Industries - Aberdeen,2021,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Aberdeen,Grays Harbor,Olympic Region Clean Air Agency,175707,171801,733,456,2716,0,0,0,0,,3,"(46.971875, -123.775526)","(46.971875, -123.775526)",46.971875,-123.775526,POINT (-123.775526 46.971875),2983,6,26
City of Tacoma Solid Waste Facility - Tacoma,2013,Waste,Landfills,562212,Solid Waste Landfill,City of Tacoma,Tacoma,Pierce,Puget Sound Clean Air Agency,26643,0,0,26643,0,0,0,0,0,,2,"(47.223413, -122.499775)","(47.223413, -122.499775)",47.223413,-122.499775,POINT (-122.499775 47.223413),3210,6,35
Puget Sound Energy - Sumas Generating Station - Sumas,2016,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Sumas,Whatcom,Northwest Clean Air Agency,192574,0,192378,89,106,0,0,0,0,,3,"(48.9905, -122.2733)","(48.9905, -122.2733)",48.9905,-122.2733,POINT (-122.2733 48.9905),2744,1,44
Fairchild AFB - Spokane Co.,2013,Government,National Security,928110,National Security,US Government,Fairchild AFB,Spokane,Spokane Regional Clean Air Agency,16260,0,16243,8,10,0,0,0,0,,1,"(47.641332, -117.644832)","(47.641332, -117.644832)",47.641332,-117.644832,POINT (-117.644832 47.641332),3214,5,9
Northwest Pipeline Plymouth C/S - Plymouth,2019,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Plymouth,Benton,Benton Clean Air Agency,10119,0,6905,3210,4,0,0,0,0,First year reporting.,1,"(45.9309, -119.41019)","(45.9309, -119.41019)",45.9309,-119.41019,POINT (-119.41019 45.9309),2955,4,23
Lamb Weston - Warden,2014,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Warden,Grant,Ecology: Eastern Regional Office,17384,0,17366,8,10,0,0,0,0,,1,"(46.971504, -119.055427)","(46.971504, -119.055427)",46.971504,-119.055427,POINT (-119.055427 46.971504),2982,4,19
University of Washington Seattle Campus - Seattle,2014,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Seattle,King,Puget Sound Clean Air Agency,82134,0,82045,40,49,0,0,0,0,,2,"(47.653614, -122.303608)","(47.653614, -122.303608)",47.653614,-122.303608,POINT (-122.303608 47.653614),3009,7,4
Seattle-Tacoma International Airport - Seattle,2021,Government,Other Government,488119,Other Airport Operations,Port of Seattle,Seattle,King,Puget Sound Clean Air Agency,14978,0,14963,7,9,0,0,0,0,,1,"(47.443643, -122.302452)","(47.443643, -122.302452)",47.443643,-122.302452,POINT (-122.302452 47.443643),3009,9,36
Imerys Minerals Quincy Plant - Quincy,2013,Minerals,Other Minerals,212399,All Other Nonmetallic Mineral Mining,Imerys Filtration Minerals Inc.,Quincy,Grant,Ecology: Eastern Regional Office,22556,0,22533,11,13,0,0,0,0,,1,"(47.239948, -119.838831)","(47.239948, -119.838831)",47.239948,-119.838831,POINT (-119.838831 47.239948),2982,4,19
Frederickson Power LP - Tacoma,2016,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,330385,0,330050,153,182,0,0,0,0,,3,"(47.086342, -122.365686)","(47.086342, -122.365686)",47.086342,-122.365686,POINT (-122.365686 47.086342),3210,10,35
Graymont Western US. Inc. - Tacoma,2018,Minerals,Lime Production,327410,Lime Manufacturing,"Graymont, Inc.",Tacoma,Pierce,Puget Sound Clean Air Agency,22,0,22,0,0,0,0,0,0,Facility shut down.,1,"(47.271365, -122.397262)","(47.271365, -122.397262)",47.271365,-122.397262,POINT (-122.397262 47.271365),3210,9,11
Puget Sound Energy - Whitehorn Generating Station - Blaine,2017,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Blaine,Whatcom,Northwest Clean Air Agency,67424,0,67351,33,41,0,0,0,0,,2,"(48.885475, -122.724299)","(48.885475, -122.724299)",48.885475,-122.724299,POINT (-122.724299 48.885475),2744,1,44
Frederickson Power LP - Tacoma,2021,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,493541,0,493040,229,273,0,0,0,0,,3,"(47.086342, -122.365686)","(47.086342, -122.365686)",47.086342,-122.365686,POINT (-122.365686 47.086342),3210,10,35
Puget Sound Energy - Fredonia Generating Station - Mount Vernon,2018,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Mount Vernon,Skagit,Northwest Clean Air Agency,101465,0,101359,48,59,0,0,0,0,,3,"(48.4553, -122.435)","(48.4553, -122.435)",48.4553,-122.435,POINT (-122.435 48.4553),3212,2,16
Riverside Feeders SFL - Kennewick,2019,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Kennewick,Benton,Benton Clean Air Agency,21162,0,2749,1428,16985,0,0,0,0,,1,"(45.991872, -119.136497)","(45.991872, -119.136497)",45.991872,-119.136497,POINT (-119.136497 45.991872),2955,4,23
Naval Air Station Whidbey Island - Oak Harbor,2018,Government,National Security,928110,National Security,US Government,Oak Harbor,Island,Northwest Clean Air Agency,14566,0,14550,7,9,0,0,0,0,,1,"(48.345281, -122.669741)","(48.345281, -122.669741)",48.345281,-122.669741,POINT (-122.669741 48.345281),3007,2,16
Bonneville Power Administration - WA Only - statewide,2014,Power Plants,Electrical Transmission and Distribution,221121,Electric Bulk Power Transmission and Control,US Government,Vancouver,Clark,Southwest Clean Air Agency,12800,0,0,0,0,0,0,12800,0,,1,"(45.661178, -122.658608)","(45.661178, -122.658608)",45.661178,-122.658608,POINT (-122.658608 45.661178),2977,3,8
"Tyson Fresh Meats, Inc. - Wallula",2017,Food Production,Meat Products,311611,Animal (except Poultry) Slaughtering,"Tyson Foods, Inc",Wallula,Walla Walla,Ecology: Eastern Regional Office,113369,0,23080,90276,13,0,0,0,0,,3,"(46.137521, -118.913051)","(46.137521, -118.913051)",46.137521,-118.913051,POINT (-118.913051 46.137521),2743,4,23
Alcoa Wenatchee Works - Malaga,2014,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Malaga,Chelan,Ecology: Industrial Section,354692,0,270752,14,16,0,83910,0,0,,3,"(47.3567, -120.1273)","(47.3567, -120.1273)",47.3567,-120.1273,POINT (-120.1273 47.3567),2956,8,18
Alcoa Wenatchee Works - Malaga,2016,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Malaga,Chelan,Ecology: Industrial Section,898,0,897,1,1,0,0,0,0,Facility curtailed.,1,"(47.3567, -120.1273)","(47.3567, -120.1273)",47.3567,-120.1273,POINT (-120.1273 47.3567),2956,8,18
Sierra Pacific Industries - Aberdeen,2016,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Aberdeen,Grays Harbor,Olympic Region Clean Air Agency,220243,215642,1720,415,2467,0,0,0,0,,3,"(46.971875, -123.775526)","(46.971875, -123.775526)",46.971875,-123.775526,POINT (-123.775526 46.971875),2983,6,26
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",2016,Wood Products,Lumber Mills,321912,"Cut Stock, Resawing Lumber, and Planing",Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,53752,53044,0,102,607,0,0,0,0,,2,"(48.609799, -118.067441)","(48.609799, -118.067441)",48.609799,-118.067441,POINT (-118.067441 48.609799),2741,5,10
Chehalis Generation Facility - Chehalis,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Berkshire Hathaway,Chehalis,Lewis,EFSEC,445152,0,444700,206,246,0,0,0,0,,3,"(46.6226, -122.9145)","(46.6226, -122.9145)",46.6226,-122.9145,POINT (-122.9145 46.6226),3196,3,27
Washington Potato Company - Warden,2012,Food Production,Potato Products,311991,Perishable Prepared Food Manufacturing,Washington Potato Co.,Warden,Grant,Ecology: Eastern Regional Office,31804,0,31771,15,18,0,0,0,0,,2,"(46.970469, -119.063631)","(46.970469, -119.063631)",46.970469,-119.063631,POINT (-119.063631 46.970469),2982,4,19
Alon Asphalt Company - Seattle,2020,Petroleum Systems,Other Petroleum Systems,324121,Asphalt Paving Mixture and Block Manufacturing,Alon USA LP,Seattle,King,Puget Sound Clean Air Agency,4270,0,4263,5,2,0,0,0,0,Suspended operations May 2020.,1,"(47.781642, -122.395299)","(47.781642, -122.395299)",47.781642,-122.395299,POINT (-122.395299 47.781642),3213,7,21
Nippon Dynawave - Longview,2020,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Weyerhaeuser Co.,Longview,Cowlitz,Ecology: Industrial Section,1532644,1172774,352071,1656,6143,0,0,0,0,Formerly included North Pacific Paper Company before 2016.,4,"(46.130495, -122.983637)","(46.130495, -122.983637)",46.130495,-122.983637,POINT (-122.983637 46.130495),2978,3,26
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",2019,Wood Products,Other Wood Products,321212,Softwood Veneer and Plywood Manufacturing,Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,73603,56367,16466,116,654,0,0,0,0,,2,"(48.613175, -118.116106)","(48.613175, -118.116106)",48.613175,-118.116106,POINT (-118.116106 48.613175),2741,5,10
Lamb Weston - Richland,2019,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Richland,Benton,Benton Clean Air Agency,100713,11437,65750,23449,78,0,0,0,0,,3,"(46.309314, -119.297267)","(46.309314, -119.297267)",46.309314,-119.297267,POINT (-119.297267 46.309314),2955,4,12
Cheyne Landfill - Zillah,2020,Waste,Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Zillah,Yakima,Yakima Regional Clean Air Agency,42145,0,0,42145,0,0,0,0,0,,2,"(46.4785, -120.2688)","(46.4785, -120.2688)",46.4785,-120.2688,POINT (-120.2688 46.4785),2746,4,22
Ardagh Glass Inc. - Seattle,2019,Minerals,Glass Production,327213,Glass Container Manufacturing,Ardagh Holdings USA Inc.,Seattle,King,Puget Sound Clean Air Agency,62997,0,62947,23,27,0,0,0,0,Furnace 2 retirement in February 2019.,2,"(47.55242, -122.33739)","(47.55242, -122.33739)",47.55242,-122.33739,POINT (-122.33739 47.55242),3009,7,17
Sierra Pacific Industries - Shelton,2014,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Shelton,Mason,Olympic Region Clean Air Agency,66658,64616,1178,125,740,0,0,0,0,,2,"(47.213448, -123.096517)","(47.213448, -123.096517)",47.213448,-123.096517,POINT (-123.096517 47.213448),849,10,39
WestRock LLC - Longview,2019,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Kapstone Paper & Packaging Corp.,Longview,Cowlitz,Ecology: Industrial Section,1555080,1408358,139775,1330,5617,0,0,0,0,,4,"(46.10361, -122.92167)","(46.10361, -122.92167)",46.10361,-122.92167,POINT (-122.92167 46.10361),2978,3,26
Hampton Lumber Mills Washington Inc. - Randle,2012,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,50381,49302,0,421,658,0,0,0,0,,2,"(46.533743, -121.917906)","(46.533743, -121.917906)",46.533743,-121.917906,POINT (-121.917906 46.533743),3196,3,27
Boulder Park Generating Station - Spokane Valley,2018,Power Plants,"Other Power, Heating, or Cooling Plants",221112,Fossil Fuel Electric Power Generation,Avista Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,23325,0,23301,11,13,0,0,0,0,,1,"(47.696999, -117.147223)","(47.696999, -117.147223)",47.696999,-117.147223,POINT (-117.147223 47.696999),3214,5,5
Kettle Falls Generating Station - Kettle Falls,2014,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Avista Corp.,Kettle Falls,Stevens,Ecology: Eastern Regional Office,375275,361824,2907,6405,4140,0,0,0,0,,3,"(48.620335, -118.110841)","(48.620335, -118.110841)",48.620335,-118.110841,POINT (-118.110841 48.620335),2741,5,10
City of Spokane Northside Landfill - Spokane,2013,Waste,Landfills,562212,Solid Waste Landfill,City of Spokane,Spokane,Spokane,Spokane Regional Clean Air Agency,9883,0,0,9883,0,0,0,0,0,Last year reporting.  Voluntary reporter.,1,"(47.727246, -117.487442)","(47.727246, -117.487442)",47.727246,-117.487442,POINT (-117.487442 47.727246),3214,5,9
Air Liquide Hydrogen Plant  - Anacortes,2019,Petroleum Systems,Other Petroleum Systems,325120,Industrial Gas Manufacturing,Air Liquide USA Inc.,Anacortes,Skagit,Northwest Clean Air Agency,66107,0,66107,0,0,0,0,0,0,,2,"(48.465617, -122.556032)","(48.465617, -122.556032)",48.465617,-122.556032,POINT (-122.556032 48.465617),3212,2,43
Gas Transmission Northwest Compressor Station 6 - Rosalia,2015,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Rosalia,Spokane,Spokane Regional Clean Air Agency,84805,0,82433,2326,46,0,0,0,0,,2,"(47.277256, -117.406737)","(47.277256, -117.406737)",47.277256,-117.406737,POINT (-117.406737 47.277256),3214,5,13
Steelscape - Kalama,2016,Metals,Other Metals,331221,Rolled Steel Shape Manufacturing,,Kalama,Cowlitz,Southwest Clean Air Agency,25336,0,25310,12,14,0,0,0,0,,2,"(46.04326, -122.871703)","(46.04326, -122.871703)",46.04326,-122.871703,POINT (-122.871703 46.04326),2978,3,27
Star Forge LLC dba Jorgensen Forge - Tukwila,2013,Metals,Other Metals,332111,Iron and Steel Forging,Jorgensen Forge Corp.,Tukwila,King,Puget Sound Clean Air Agency,16442,0,16426,8,9,0,0,0,0,,1,"(47.526872, -122.303906)","(47.526872, -122.303906)",47.526872,-122.303906,POINT (-122.303906 47.526872),3009,9,17
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",2017,Wood Products,Lumber Mills,321912,"Cut Stock, Resawing Lumber, and Planing",Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,54397,53680,0,103,614,0,0,0,0,,2,"(48.609799, -118.067441)","(48.609799, -118.067441)",48.609799,-118.067441,POINT (-118.067441 48.609799),2741,5,10
DH Feeders - Eltopia,2014,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Eltopia,Franklin,Ecology: Eastern Regional Office,14416,0,867,1035,12513,0,0,0,0,,1,"(46.50919, -118.881203)","(46.50919, -118.881203)",46.50919,-118.881203,POINT (-118.881203 46.50919),2981,4,13
Lamb Weston - Quincy,2017,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Quincy,Grant,Ecology: Eastern Regional Office,34928,0,34892,17,20,0,0,0,0,,2,"(47.234413, -119.869914)","(47.234413, -119.869914)",47.234413,-119.869914,POINT (-119.869914 47.234413),2982,4,19
Horn Rapids Sanitary Landfill - Richland,2016,Waste,Landfills,562212,Solid Waste Landfill,City of Richland,Richland,Benton,Benton Clean Air Agency,26021,0,0,26021,0,0,0,0,0,,2,"(46.346663, -119.348118)","(46.346663, -119.348118)",46.346663,-119.348118,POINT (-119.348118 46.346663),2955,4,12
Hidden Valley Landfill - Puyallup,2019,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Puyallup,Pierce,Puget Sound Clean Air Agency,7434,0,0,7434,0,0,0,0,0,Voluntary reporter.,1,"(47.095, -122.2878)","(47.095, -122.2878)",47.095,-122.2878,POINT (-122.2878 47.095),3210,8,2
Puget Sound Energy LDC - statewide,2015,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,58610,0,72,58537,0,0,0,0,0,,2,"(47.61345, -122.19454)","(47.61345, -122.19454)",47.61345,-122.19454,POINT (-122.19454 47.61345),3009,9,42
Naval Air Station Whidbey Island - Oak Harbor,2013,Government,National Security,928110,National Security,US Government,Oak Harbor,Island,Northwest Clean Air Agency,16248,0,16231,8,10,0,0,0,0,,1,"(48.345281, -122.669741)","(48.345281, -122.669741)",48.345281,-122.669741,POINT (-122.669741 48.345281),3007,2,16
