Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Location duplicate,Latitude,Longitude,New Georeferenced Column,Counties,Congressional Districts,WAOFM - GIS - Legislative District Boundary
"Rainier Veneer, Inc. - Spanaway",2019,Wood Products,Other Wood Products,321212,Softwood Veneer and Plywood Manufacturing,Rainier Veneer Inc.,Spanaway,Pierce,Puget Sound Clean Air Agency,14399,12519,1712,25,144,0,0,0,0,,1,"(47.062059, -122.318981)","(47.062059, -122.318981)",47.062059,-122.318981,POINT (-122.318981 47.062059),3210,10,2
Darigold - Sunnyside,2018,Food Production,Dairy Products,311513,Cheese Manufacturing,Darigold Inc.,Sunnyside,Yakima,Yakima Regional Clean Air Agency,38345,0,38305,18,22,0,0,0,0,,2,"(46.30058, -120.015675)","(46.30058, -120.015675)",46.30058,-120.015675,POINT (-120.015675 46.30058),2746,4,22
Hampton Lumber Mills Washington Inc. - Darrington,2015,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Darrington,Snohomish,Puget Sound Clean Air Agency,87598,86443,0,166,989,0,0,0,0,,2,"(48.262797, -121.597608)","(48.262797, -121.597608)",48.262797,-121.597608,POINT (-121.597608 48.262797),3213,1,41
Northwest Pipeline C/S - Snohomish,2018,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Snohomish,Snohomish,Puget Sound Clean Air Agency,50061,0,48486,1548,27,0,0,0,0,,2,"(47.78825, -122.05859)","(47.78825, -122.05859)",47.78825,-122.05859,POINT (-122.05859 47.78825),3213,1,1
Guy Bennett Lumber Company - Clarkston,2018,Wood Products,Lumber Mills,321113,Sawmills,Bennett Lumber Products Inc.,Clarkston,Whitman,Ecology: Eastern Regional Office,15574,15240,0,130,203,0,0,0,0,,1,"(46.423108, -117.086487)","(46.423108, -117.086487)",46.423108,-117.086487,POINT (-117.086487 46.423108),2745,5,13
Washington Potato Company - Warden,2017,Food Production,Potato Products,311991,Perishable Prepared Food Manufacturing,Washington Potato Co.,Warden,Grant,Ecology: Eastern Regional Office,29844,0,29814,14,17,0,0,0,0,,2,"(46.970469, -119.063631)","(46.970469, -119.063631)",46.970469,-119.063631,POINT (-119.063631 46.970469),2982,4,19
Avista Corporation - supplier,2015,Supplier,Natural Gas Supplier,4911,,,Spokane,Spokane,Spokane Regional Clean Air Agency,922540,0,921589,434,518,0,0,0,0,Currently Undergoing Verification.,3,,,,,,,,
Georgia-Pacific Gypsum LLC - Tacoma,2017,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Koch Industries Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,46857,0,46808,22,26,0,0,0,0,,2,"(47.269558, -122.394869)","(47.269558, -122.394869)",47.269558,-122.394869,POINT (-122.394869 47.269558),3210,9,11
Cardinal FG Company - Winlock,2021,Minerals,Glass Production,327211,Flat Glass Manufacturing,Cardinal Glass Industries Inc.,Winlock,Lewis,Southwest Clean Air Agency,105912,0,105838,34,40,0,0,0,0,,3,"(46.544937, -122.926313)","(46.544937, -122.926313)",46.544937,-122.926313,POINT (-122.926313 46.544937),3196,3,27
J.R. Simplot Company - Othello,2020,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Othello,Adams,Ecology: Eastern Regional Office,110848,0,47794,63027,27,0,0,0,0,,3,"(46.837778, -119.176389)","(46.837778, -119.176389)",46.837778,-119.176389,POINT (-119.176389 46.837778),2953,4,13
Puget Sound Energy LDC - statewide,2018,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,61071,0,90,60981,0,0,0,0,0,,2,"(47.61345, -122.19454)","(47.61345, -122.19454)",47.61345,-122.19454,POINT (-122.19454 47.61345),3009,9,42
